InputID,EnumID,Description,StartYear,EndYear,MinValue,ModeValue,MaxValue
1,0,CCF to MgC,NULL,NULL,0.950000,1.000000,1.050000
2,1,Harvest,0,1945,0.700000,1.000000,1.300000
3,1,Harvest,1946,1979,0.800000,1.000000,1.200000
4,1,Harvest,1980,3000,0.850000,1.000000,1.150000
5,2,Timber Products,0,1945,0.700000,1.000000,1.300000
6,2,Timber Products,1946,1979,0.800000,1.000000,1.200000
7,2,Timber Products,1980,3000,0.850000,1.000000,1.150000
8,3,Primary Products,0,1949,0.700000,1.000000,1.300000
9,3,Primary Products,1950,1979,0.800000,1.000000,1.200000
10,3,Primary Products,1980,3000,0.850000,1.000000,1.150000
11,4,End Use Products,NULL,NULL,0.850000,1.000000,1.150000
12,5,Product Half Lives,NULL,NULL,0.850000,1.000000,1.150000
13,6,Discarded Dispositions Paper,NULL,NULL,0.850000,1.000000,1.150000
14,7,Discarded Dispositions Wood,NULL,NULL,0.850000,1.000000,1.150000
15,8,Landfill Decay Limits Paper,NULL,NULL,0.850000,1.000000,1.150000
16,9,Landfill Decay Limits Wood,NULL,NULL,0.850000,1.000000,1.150000
17,10,Landfill Half Lives Paper,NULL,NULL,0.850000,1.000000,1.150000
18,11,Landfill Half Lives Wood,NULL,NULL,0.850000,1.000000,1.150000
19,12,Dump Half Lives Paper,NULL,NULL,0.850000,1.000000,1.150000
20,13,Dump Half Lives Wood,NULL,NULL,0.850000,1.000000,1.150000
21,14,Recovered Half Lives Paper,NULL,NULL,0.850000,1.000000,1.150000
22,15,Recovered Half Lives Wood,NULL,NULL,0.850000,1.000000,1.150000
23,16,Burned with Energy Capture,NULL,NULL,0.850000,1.000000,1.150000
