EndUseID,PrimaryProductID,TimberProductID,TimberProduct,PrimaryProduct,EndUseProduct
1,1,1,"hardwood, sawtimber",fuelwood and other,fuelwood and other
2,2,1,"hardwood, sawtimber",lumber,"manufacturing, other manufacturing"
3,2,1,"hardwood, sawtimber",lumber,"rail and railcar, n/a"
4,2,1,"hardwood, sawtimber",lumber,"packaging and shipping, n/a"
5,2,1,"hardwood, sawtimber",lumber,"manufacturing, furniture"
6,2,1,"hardwood, sawtimber",lumber,"other, n/a"
7,2,1,"hardwood, sawtimber",lumber,"new nonresidential, other"
8,2,1,"hardwood, sawtimber",lumber,"new nonresidential, new nonres buildings"
9,2,1,"hardwood, sawtimber",lumber,"residential r and r, n/a"
10,2,1,"hardwood, sawtimber",lumber,"new housing, manufactured housing"
11,2,1,"hardwood, sawtimber",lumber,"new housing, single family"
12,2,1,"hardwood, sawtimber",lumber,"new housing, multifamily"
13,3,1,"hardwood, sawtimber",non-structural panels,"manufacturing, other manufacturing"
14,3,1,"hardwood, sawtimber",non-structural panels,"new housing, multifamily"
15,3,1,"hardwood, sawtimber",non-structural panels,"new housing, single family"
16,3,1,"hardwood, sawtimber",non-structural panels,"residential r and r, n/a"
17,3,1,"hardwood, sawtimber",non-structural panels,"new nonresidential, new nonres buildings"
18,3,1,"hardwood, sawtimber",non-structural panels,"new nonresidential, other"
19,3,1,"hardwood, sawtimber",non-structural panels,"rail and railcar, n/a"
20,3,1,"hardwood, sawtimber",non-structural panels,"manufacturing, furniture"
21,3,1,"hardwood, sawtimber",non-structural panels,"new housing, manufactured housing"
22,3,1,"hardwood, sawtimber",non-structural panels,"packaging and shipping, n/a"
23,3,1,"hardwood, sawtimber",non-structural panels,"other, n/a"
24,4,1,"hardwood, sawtimber",oriented strandboard (OSB),"new housing, multifamily"
25,4,1,"hardwood, sawtimber",oriented strandboard (OSB),"rail and railcar, n/a"
26,4,1,"hardwood, sawtimber",oriented strandboard (OSB),"new housing, single family"
27,4,1,"hardwood, sawtimber",oriented strandboard (OSB),"new housing, manufactured housing"
28,4,1,"hardwood, sawtimber",oriented strandboard (OSB),"manufacturing, furniture"
29,4,1,"hardwood, sawtimber",oriented strandboard (OSB),"new nonresidential, new nonres buildings"
30,4,1,"hardwood, sawtimber",oriented strandboard (OSB),"manufacturing, other manufacturing"
31,4,1,"hardwood, sawtimber",oriented strandboard (OSB),"packaging and shipping, n/a"
32,4,1,"hardwood, sawtimber",oriented strandboard (OSB),"other, n/a"
33,4,1,"hardwood, sawtimber",oriented strandboard (OSB),"residential r and r, n/a"
34,4,1,"hardwood, sawtimber",oriented strandboard (OSB),"new nonresidential, other"
35,5,1,"hardwood, sawtimber",other industrial products,other industrial products
36,6,1,"hardwood, sawtimber",plywood,"new housing, manufactured housing"
37,6,1,"hardwood, sawtimber",plywood,"new housing, multifamily"
38,6,1,"hardwood, sawtimber",plywood,"residential r and r, n/a"
39,6,1,"hardwood, sawtimber",plywood,"new nonresidential, new nonres buildings"
40,6,1,"hardwood, sawtimber",plywood,"new nonresidential, other"
41,6,1,"hardwood, sawtimber",plywood,"rail and railcar, n/a"
42,6,1,"hardwood, sawtimber",plywood,"manufacturing, furniture"
43,6,1,"hardwood, sawtimber",plywood,"manufacturing, other manufacturing"
44,6,1,"hardwood, sawtimber",plywood,"packaging and shipping, n/a"
45,6,1,"hardwood, sawtimber",plywood,"other, n/a"
46,6,1,"hardwood, sawtimber",plywood,"new housing, single family"
