Year,ccf
2016,4261696.217
2015,4301631.56
2014,3774402.687
2013,4462880.74
2012,3629792.393
2011,3699148.861
2010,3290306.612
2009,2311196.141
2008,3782171.541
2007,4486285.801
2006,3840045.009
2005,4088576.807
2004,4057920.931
2003,3922517.473
2002,3978865.254
2001,3790708.242
2000,4477422.09
1999,5041339.835
1998,4952300.191
1997,5634937.46
1996,5348738.605
1995,5374178.503
1994,6018655.925
1993,6480814.077
1992,6813652.745
1991,7364850.541
1990,9012083.952
1989,8826168.224
1988,9046728.972
1987,8689719.626
1986,8147663.551
1985,7581308.411
1984,6942056.075
1983,6818691.589
1982,4667289.72
1981,5343925.234
1980,6431775.701
1979,6784053.156
1978,7747508.306
1977,7951827.243
1976,7858803.987
1975,7199335.548
1974,7813953.488
1973,8177740.864
1972,9230897.01
1971,7956810.631
1970,7584717.608
1969,8307308.97
1968,9089700.997
1967,8408637.874
1966,8318936.877
1965,8755813.953
1964,9096345.515
1963,9071428.571
1962,9200996.678
1961,8873754.153
1960,8533222.591
1959,9777408.638
1958,9426910.299
1957,8882059.801
1956,9737541.528
1955,9991694.352
1954,9302325.581
1953,9950166.113
1952,8400332.226
