TimberProductID,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990,1989,1988,1987,1986,1985,1984,1983,1982,1981,1980,1979,1978,1977,1976,1975,1974,1973,1972,1971,1970,1969,1968,1967,1966,1965,1964,1963,1962,1961,1960,1959,1958,1957,1956,1955,1954,1953,1952
1,0,0,0,0,0,0,0,0,0,0,0.0002,0.0002,0.0002,0.0002,0.0002,0.0002,0.0008,0.0008,0.0008,0.0008,0.0008,0.0008,0.0002,0.0002,0.0002,0.0002,0.0002,0.0002,0.0002,0.0002,0.0002,0.001,0.001,0.001,0.0021,0.0021,0.0021,0.0021,0.0021,0.0021,0.0017,0.0017,0.0017,0.0017,0.0023,0.0023,0.0023,0.0023,0.0025,0.0025,0.0025,0.0025,0.0025,0.0025,0.0025,0.0025,0.0025,0.0025,0.0025,0.0025,0.0025,0.0025,0.0025,0.0025,0.0025
2,0.6729,0.6729,0.6729,0.6729,0.6729,0.6729,0.6729,0.6729,0.6729,0.6729,0.8318,0.8318,0.8318,0.8318,0.8318,0.8318,0.8767,0.8767,0.8767,0.8767,0.8767,0.8767,0.9795,0.9795,0.9964,0.9964,0.9964,0.9964,0.9856,0.9856,0.9856,0.9862,0.9862,0.9862,0.9826,0.9826,0.9826,0.9826,0.9826,0.9826,0.9949,0.9949,0.9949,0.9949,0.991,0.991,0.991,0.991,0.996,0.996,0.996,0.996,0.996,0.996,0.996,0.996,0.996,0.996,0.996,0.996,0.996,0.996,0.996,0.996,0.996
3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.005,0.005,0.005,0.005,0.005,0.005,0,0,0,0,0,0,0.0053,0.0053,0.0053,0.0045,0.0045,0.0045,0.0016,0.0016,0.0016,0.0016,0.0016,0.0016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0029,0.0029,0,0,0,0,0.006,0.006,0.006,0.0034,0.0034,0.0034,0.0091,0.0091,0.0091,0.0091,0.0091,0.0091,0.0006,0.0006,0.0006,0.0006,0.0037,0.0037,0.0037,0.0037,0.0009,0.0009,0.0009,0.0009,0.0009,0.0009,0.0009,0.0009,0.0009,0.0009,0.0009,0.0009,0.0009,0.0009,0.0009,0.0009,0.0009
5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,0.0025,0.0025,0.0025,0.0025,0.0025,0.0025,0.0025,0.0025,0.0025,0.0025,0.0028,0.0028,0.0028,0.0028,0.0028,0.0028,0.0008,0.0008,0.0008,0.0008,0.0008,0.0008,0.0173,0.0173,0.0031,0.0031,0.0031,0.0031,0.0026,0.0026,0.0026,0.0045,0.0045,0.0045,0.0044,0.0044,0.0044,0.0044,0.0044,0.0044,0.0021,0.0021,0.0021,0.0021,0.0025,0.0025,0.0025,0.0025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
