Year,ConversionFactor
1900,6.02
1901,6.02
1902,6.02
1903,6.02
1904,6.02
1905,6.02
1906,6.02
1907,6.02
1908,6.02
1909,6.02
1910,6.02
1911,6.02
1912,6.02
1913,6.02
1914,6.02
1915,6.02
1916,6.02
1917,6.02
1918,6.02
1919,6.02
1920,6.02
1921,6.02
1922,6.02
1923,6.02
1924,6.02
1925,6.02
1926,6.02
1927,6.02
1928,6.02
1929,6.02
1930,6.02
1931,6.02
1932,6.02
1933,6.02
1934,6.02
1935,6.02
1936,6.02
1937,6.02
1938,6.02
1939,6.02
1940,6.02
1941,6.02
1942,6.02
1943,6.02
1944,6.02
1945,6.02
1946,6.02
1947,6.02
1948,6.02
1949,6.02
1950,6.02
1951,6.02
1952,6.02
1953,6.02
1954,6.02
1955,6.02
1956,6.02
1957,6.02
1958,6.02
1959,6.02
1960,6.02
1961,6.02
1962,6.02
1963,6.02
1964,6.02
1965,6.02
1966,6.02
1967,6.02
1968,6.02
1969,6.02
1970,6.02
1971,6.02
1972,6.02
1973,6.02
1974,6.02
1975,6.02
1976,6.02
1977,6.02
1978,6.02
1979,6.02
1980,5.35
1981,5.35
1982,5.35
1983,5.35
1984,5.35
1985,5.35
1986,5.35
1987,5.35
1988,5.35
1989,5.35
1990,4.72
1991,4.72
1992,4.72
1993,4.72
1994,4.72
1995,4.72
1996,4.72
1997,4.72
1998,4.72
1999,4.72
2000,4.72
2001,4.62
2002,4.62
2003,4.62
2004,4.62
2005,4.62
2006,4.62
2007,3.96
2008,3.96
2009,3.96
2010,3.96
2011,3.96
2012,3.96
2013,3.96
2014,3.96
2015,3.96
2016,3.96
2017,3.96
2018,3.96
2019,3.96
2020,3.96
2021,3.96
2022,3.96
2023,3.96
2024,3.96
2025,3.96
2026,3.96
2027,3.96
2028,3.96
2029,3.96
2030,3.96
2031,3.96
2032,3.96
2033,3.96
2034,3.96
2035,3.96
2036,3.96
2037,3.96
2038,3.96
2039,3.96
2040,3.96
2041,3.96
2042,3.96
2043,3.96
2044,3.96
2045,3.96
2046,3.96
2047,3.96
2048,3.96
2049,3.96
2050,3.96
