DiscardTypeID,DiscardDestinationID,Year,DiscardDestinationRatio
1,2,2009,0.08
1,3,1906,0
1,3,1907,0
1,3,1908,0
1,3,1909,0
1,3,1910,0
1,3,1911,0
1,3,1912,0
1,3,1913,0
1,3,1914,0
1,3,1915,0
1,3,1916,0
1,3,1917,0
1,3,1918,0
1,3,1919,0
1,3,1920,0
1,3,1921,0
1,3,1922,0
1,3,1923,0
1,3,1924,0
1,3,1925,0
1,3,1926,0
1,3,1927,0
1,3,1928,0
1,3,1929,0
1,3,1930,0
1,3,1931,0
1,3,1932,0
1,3,1933,0
1,3,1934,0
1,3,1935,0
1,3,1936,0
1,3,1937,0
1,3,1938,0
1,3,1939,0
1,3,1940,0.03
1,3,1941,0.03
1,3,1942,0.03
1,3,1943,0.03
1,3,1944,0.03
1,3,1945,0.03
1,3,1946,0.03
1,3,1947,0.03
1,3,1948,0.03
1,3,1949,0.03
1,3,1950,0.07
1,3,1951,0.07
1,3,1952,0.07
1,3,1953,0.07
1,3,1954,0.07
1,3,1955,0.07
1,3,1956,0.07
1,3,1957,0.07
1,3,1958,0.07
1,3,1959,0.07
1,3,1960,0.11
1,3,1961,0.11
1,3,1962,0.11
1,3,1963,0.11
1,3,1964,0.11
1,3,1965,0.11
1,3,1966,0.11
1,3,1967,0.11
1,3,1968,0.11
1,3,1969,0.11
1,3,1970,0.26
1,3,1971,0.26
1,3,1972,0.26
1,3,1973,0.26
1,3,1974,0.26
1,3,1975,0.26
1,3,1976,0.26
1,3,1977,0.26
1,3,1978,0.26
1,3,1979,0.26
1,3,1980,0.68
1,3,1981,0.68
1,3,1982,0.68
1,3,1983,0.68
1,3,1984,0.68
1,3,1985,0.68
1,3,1986,0.68
1,3,1987,0.68
1,3,1988,0.68
1,3,1989,0.68
1,3,1990,0.73
1,3,1991,0.73
1,3,1992,0.73
1,3,1993,0.73
1,3,1994,0.73
1,3,1995,0.73
1,3,1996,0.73
1,3,1997,0.73
1,3,1998,0.73
1,3,1999,0.73
1,3,2000,0.67
1,3,2001,0.67
1,3,2002,0.68
1,3,2003,0.67
1,3,2004,0.67
1,3,2005,0.67
1,3,2006,0.67
1,3,2007,0.67
1,3,2008,0.67
1,3,2009,0.67
1,4,1906,0.71
1,4,1907,0.71
1,4,1908,0.71
1,4,1909,0.71
1,4,1910,0.71
1,4,1911,0.71
1,4,1912,0.71
1,4,1913,0.71
1,4,1914,0.71
1,4,1915,0.71
1,4,1916,0.71
1,4,1917,0.71
1,4,1918,0.71
1,4,1919,0.71
1,4,1920,0.71
1,4,1921,0.71
1,4,1922,0.71
1,4,1923,0.71
1,4,1924,0.71
1,4,1925,0.71
1,4,1926,0.71
1,4,1927,0.71
1,4,1928,0.71
1,4,1929,0.71
1,4,1930,0.71
1,4,1931,0.71
1,4,1932,0.71
1,4,1933,0.71
1,4,1934,0.71
1,4,1935,0.71
1,4,1936,0.71
1,4,1937,0.71
1,4,1938,0.71
1,4,1939,0.71
1,4,1940,0.67
1,4,1941,0.67
1,4,1942,0.67
1,4,1943,0.67
1,4,1944,0.67
1,4,1945,0.67
1,4,1946,0.67
1,4,1947,0.67
1,4,1948,0.67
1,4,1949,0.67
1,4,1950,0.63
1,4,1951,0.63
1,4,1952,0.63
1,4,1953,0.63
1,4,1954,0.63
1,4,1955,0.63
1,4,1956,0.63
1,4,1957,0.63
1,4,1958,0.63
1,4,1959,0.63
1,4,1960,0.58
1,4,1961,0.58
1,4,1962,0.58
1,4,1963,0.58
1,4,1964,0.58
1,4,1965,0.58
1,4,1966,0.58
1,4,1967,0.58
1,4,1968,0.58
1,4,1969,0.58
1,4,1970,0.53
1,4,1971,0.53
1,4,1972,0.53
1,4,1973,0.53
1,4,1974,0.53
1,4,1975,0.53
1,4,1976,0.53
1,4,1977,0.53
1,4,1978,0.53
1,4,1979,0.53
1,4,1980,0.23
1,4,1981,0.23
1,4,1982,0.23
1,4,1983,0.23
1,4,1984,0.23
1,4,1985,0.23
1,4,1986,0.23
1,4,1987,0.23
1,4,1988,0.23
1,4,1989,0.23
1,4,1990,0.02
1,4,1991,0.02
1,4,1992,0.02
1,4,1993,0.02
1,4,1994,0.02
1,4,1995,0.02
1,4,1996,0.02
1,4,1997,0.02
1,4,1998,0.02
1,4,1999,0.02
1,4,2000,0.02
1,4,2001,0.02
1,4,2002,0.02
1,4,2003,0.02
1,4,2004,0.02
1,4,2005,0.02
1,4,2006,0.02
1,4,2007,0.02
1,4,2008,0.02
1,4,2009,0.02
0,0,1906,0.29
0,0,1907,0.29
0,0,1908,0.29
0,0,1909,0.29
0,0,1910,0.29
0,0,1911,0.29
0,0,1912,0.29
0,0,1913,0.29
0,0,1914,0.29
0,0,1915,0.29
0,0,1916,0.29
0,0,1917,0.29
0,0,1918,0.29
0,0,1919,0.29
0,0,1920,0.29
0,0,1921,0.29
0,0,1922,0.29
0,0,1923,0.29
0,0,1924,0.29
0,0,1925,0.29
0,0,1926,0.29
0,0,1927,0.29
0,0,1928,0.29
0,0,1929,0.29
0,0,1930,0.29
0,0,1931,0.29
0,0,1932,0.29
0,0,1933,0.29
0,0,1934,0.29
0,0,1935,0.29
0,0,1936,0.29
0,0,1937,0.29
0,0,1938,0.29
0,0,1939,0.29
0,0,1940,0.3
0,0,1941,0.3
0,0,1942,0.3
0,0,1943,0.3
0,0,1944,0.3
0,0,1945,0.3
0,0,1946,0.3
0,0,1947,0.3
0,0,1948,0.3
0,0,1949,0.3
0,0,1950,0.3
0,0,1951,0.3
0,0,1952,0.3
0,0,1953,0.3
0,0,1954,0.3
0,0,1955,0.3
0,0,1956,0.3
0,0,1957,0.3
0,0,1958,0.3
0,0,1959,0.3
0,0,1960,0.31
0,0,1961,0.31
0,0,1962,0.31
0,0,1963,0.31
0,0,1964,0.31
0,0,1965,0.31
0,0,1966,0.31
0,0,1967,0.31
0,0,1968,0.31
0,0,1969,0.31
0,0,1970,0.21
0,0,1971,0.21
0,0,1972,0.21
0,0,1973,0.21
0,0,1974,0.21
0,0,1975,0.21
0,0,1976,0.21
0,0,1977,0.21
0,0,1978,0.21
0,0,1979,0.21
0,0,1980,0.09
0,0,1981,0.09
0,0,1982,0.09
0,0,1983,0.09
0,0,1984,0.09
0,0,1985,0.09
0,0,1986,0.09
0,0,1987,0.09
0,0,1988,0.09
0,0,1989,0.09
0,0,1990,0.16
0,0,1991,0.16
0,0,1992,0.16
0,0,1993,0.16
0,0,1994,0.16
0,0,1995,0.16
0,0,1996,0.16
0,0,1997,0.16
0,0,1998,0.16
0,0,1999,0.16
0,0,2000,0.15
0,0,2001,0.15
0,0,2002,0.14
0,0,2003,0.14
0,0,2004,0.14
0,0,2005,0.14
0,0,2006,0.14
0,0,2007,0.14
0,0,2008,0.14
0,0,2009,0.14
0,1,1906,0
0,1,1907,0
0,1,1908,0
0,1,1909,0
0,1,1910,0
0,1,1911,0
0,1,1912,0
0,1,1913,0
0,1,1914,0
0,1,1915,0
0,1,1916,0
0,1,1917,0
0,1,1918,0
0,1,1919,0
0,1,1920,0
0,1,1921,0
0,1,1922,0
0,1,1923,0
0,1,1924,0
0,1,1925,0
0,1,1926,0
0,1,1927,0
0,1,1928,0
0,1,1929,0
0,1,1930,0
0,1,1931,0
0,1,1932,0
0,1,1933,0
0,1,1934,0
0,1,1935,0
0,1,1936,0
0,1,1937,0
0,1,1938,0
0,1,1939,0
0,1,1940,0
0,1,1941,0
0,1,1942,0
0,1,1943,0
0,1,1944,0
0,1,1945,0
0,1,1946,0
0,1,1947,0
0,1,1948,0
0,1,1949,0
0,1,1950,0
0,1,1951,0
0,1,1952,0
0,1,1953,0
0,1,1954,0
0,1,1955,0
0,1,1956,0
0,1,1957,0
0,1,1958,0
0,1,1959,0
0,1,1960,0.17
0,1,1961,0.17
0,1,1962,0.17
0,1,1963,0.17
0,1,1964,0.17
0,1,1965,0.17
0,1,1966,0.17
0,1,1967,0.17
0,1,1968,0.17
0,1,1969,0.17
0,1,1970,0.15
0,1,1971,0.15
0,1,1972,0.15
0,1,1973,0.15
