Year,ccf
2018,18205
2017,12942
2016,14896
2015,20162
2014,14029
2013,12658
2012,19330.79
2011,25343.95
2010,16992.71
2009,20163.62
2008,14319.25
2007,13544.36
2006,15347.09
2005,19869.15
2004,13401.1
2003,24958.26
2002,15091.83
2001,10714.3
2000,12006.67373
1999,23381.18644
1998,7054.491525
1997,15053.87712
1996,20214.32203
1995,20669.74576
1994,28886.35593
1993,25907.86017
1992,23856.37712
1991,35493.38983
1990,47901.22881
1989,61409.62617
1988,39767.36449
1987,66405.57009
1986,54544.05607
1985,55018.07477
1984,70193.47664
1983,92074.69159
1982,26095.17757
1981,18912.82243
1980,22382.65421
1979,28329.01993
1978,29364.76744
1977,13809.00332
1976,9885.797342
1975,20449.95017
1974,32656.47841
1973,21290.81395
1972,48729.68439
1971,41263.52159
1970,65444.95017
1969,58784.36877
1968,94265.86379
1967,70394.23588
1966,52530.46512
1965,75202.65781
1964,84489.96678
1963,71072.17608
1962,32005.49834
1961,37961.09635
1960,48789.01993
1959,57305.89701
1958,32322.25914
1957,45202.65781
1956,41901.99336
1955,33812.29236
1954,31862.12625
1953,33875.41528
1952,40588.03987
1951,23476.74419
1950,25189.36877
1949,32612.95681
1948,24661.12957
1947,27789.03654
1946,10514.95017
1945,20881.35973
1944,19849.62773
1943,12501.15903
1942,11172.4739
1941,11541.83305
1940,10166.9271
1939,5173.369974
1938,7579.803012
1937,7310.486256
1936,7787.938027
1935,5489.670795
1934,4249.789141
1933,1536.825333
1932,2646.988522
1931,5691.658362
1930,7528.574282
1929,9158.599312
1928,10511.55009
1927,8786.166439
1926,9004.839936
1925,10940.92004
1924,10393.50446
1923,9132.10674
1922,9322.311699
1921,8269.268545
1920,9303.503437
1919,9284.768358
1918,8991.374098
1917,13455.4457
1916,11889.01748
1915,13502.35658
1914,14430.69437
1913,10805.23709
1912,7937.086818
1911,6526.467123
1910,7303.021498
1909,8110.09356
1908,10159.02324
1907,1688.71852
1906,38.34836422
