Parameter ID,Parameter Name,First Year,Last Year,Min Value,Peak Value,Max Value
0,CCF to MgC conversion  factors,n/a,n/a,0.95,1,1.05
1,Harvest,1906,1945,0.7,1,1.3
1,,1946,1979,0.8,1,1.2
1,,1980,2100,0.85,1,1.15
2,Timber product ratios,1906,1945,0.7,1,1.3
2,,1946,1979,0.8,1,1.2
2,,1980,2100,0.85,1,1.15
3,Primary product ratios,1906,1949,0.7,1,1.3
3,,1950,1979,0.8,1,1.2
3,,1980,2100,0.85,1,1.15
4,End use product ratios,n/a,n/a,0.85,1,1.15
5,Product half lives,n/a,n/a,0.85,1,1.15
6,Discarded disposition ratios (paper),n/a,n/a,0.85,1,1.15
7,Discarded disposition ratios (wood),n/a,n/a,0.85,1,1.15
8,Landfill decay limits (paper),n/a,n/a,0.85,1,1.15
9,Landfill decay limits (wood),n/a,n/a,0.85,1,1.15
10,Landfill half lives (paper),n/a,n/a,0.85,1,1.15
11,Landfill half lives (wood),n/a,n/a,0.85,1,1.15
12,Dump half lives (paper),n/a,n/a,0.85,1,1.15
13,Dump half lives (wood),n/a,n/a,0.85,1,1.15
14,Recovered half lives (paper),n/a,n/a,0.85,1,1.15
15,Recovered half lives (wood),n/a,n/a,0.85,1,1.15
16,Burned with energy capture ratio,n/a,n/a,0.85,1,1.15
,,,,,,
"The parameter ID needs to be the same for all entries for a particular parameter. For example, if you enter a new row for Timber product ratios it still needs to have a Parameter ID of 2.",,,,,,
