TimberProductID,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990,1989,1988,1987,1986,1985,1984,1983,1982,1981,1980,1979,1978,1977,1976,1975,1974,1973,1972,1971,1970,1969,1968,1967,1966,1965,1964,1963,1962
1,0.0227,0.0227,0.0227,0.0227,0.0227,0.0227,0.0227,0.0227,0.0227,0.0249,0.0249,0.0249,0.0249,0.0249,0.0337,0.0337,0.0337,0.0337,0.0337,0.0341,0.0341,0.0341,0.0341,0.0165,0.0165,0.0094,0.0094,0.0094,0.0094,0.012,0.012,0.012,0.0107,0.0107,0.0107,0.0076,0.0076,0.0076,0.0076,0.0076,0.0076,0.0053,0.0053,0.0053,0.0053,0.0048,0.0048,0.0048,0.0048,0.0072,0.0072,0.0072,0.0072,0.0072,0.0072,0.0042
2,0.833,0.833,0.833,0.833,0.833,0.833,0.833,0.833,0.833,0.8735,0.8735,0.8735,0.8735,0.8735,0.8757,0.8757,0.8757,0.8757,0.8757,0.8583,0.8583,0.8583,0.8583,0.9544,0.9544,0.9334,0.9334,0.9334,0.9334,0.9712,0.9712,0.9712,0.9766,0.9766,0.9766,0.9729,0.9729,0.9729,0.9729,0.9729,0.9729,0.9804,0.9804,0.9804,0.9804,0.9797,0.9797,0.9797,0.9797,0.9768,0.9768,0.9768,0.9768,0.9768,0.9768,0.7782
3,0.0174,0.0174,0.0174,0.0174,0.0174,0.0174,0.0174,0.0174,0.0174,0.0172,0.0172,0.0172,0.0172,0.0172,0.0279,0.0279,0.0279,0.0279,0.0279,0.0419,0.0419,0.0419,0.0419,0.003,0.003,0.0005,0.0005,0.0005,0.0005,0.0032,0.0032,0.0032,0.0012,0.0012,0.0012,0.0008,0.0008,0.0008,0.0008,0.0008,0.0008,0.0018,0.0018,0.0018,0.0018,0.0025,0.0025,0.0025,0.0025,0.0012,0.0012,0.0012,0.0012,0.0012,0.0012,0.0046
4,0.1186,0.1186,0.1186,0.1186,0.1186,0.1186,0.1186,0.1186,0.1186,0.0772,0.0772,0.0772,0.0772,0.0772,0.0458,0.0458,0.0458,0.0458,0.0458,0.0617,0.0617,0.0617,0.0617,0.0179,0.0179,0.0497,0.0497,0.0497,0.0497,0.0083,0.0083,0.0083,0.0073,0.0073,0.0073,0.0121,0.0121,0.0121,0.0121,0.0121,0.0121,0.0058,0.0058,0.0058,0.0058,0.0059,0.0059,0.0059,0.0059,0.0072,0.0072,0.0072,0.0072,0.0072,0.0072,0.08
5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,0.0069,0.0069,0.0069,0.0069,0.0069,0.0069,0.0069,0.0069,0.0069,0.0027,0.0027,0.0027,0.0027,0.0027,0.0019,0.0019,0.0019,0.0019,0.0019,0.0038,0.0038,0.0038,0.0038,0.007,0.007,0.0057,0.0057,0.0057,0.0057,0.0035,0.0035,0.0035,0.0021,0.0021,0.0021,0.0048,0.0048,0.0048,0.0048,0.0048,0.0048,0.0027,0.0027,0.0027,0.0027,0.0027,0.0027,0.0027,0.0027,0,0,0,0,0,0,0.0026
7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0009
9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
