End Use ID,Timber Product,Primary Product,End Use Product,End Use Half Life
1,"hardwood, sawtimber",fuelwood and other,fuelwood and other,0
2,"hardwood, sawtimber",lumber,"manufacturing, other manufacturing",12
3,"hardwood, sawtimber",lumber,"rail and railcar, n/a",12
4,"hardwood, sawtimber",lumber,"packaging and shipping, n/a",6
5,"hardwood, sawtimber",lumber,"manufacturing, furniture",30
6,"hardwood, sawtimber",lumber,"other, n/a",12
7,"hardwood, sawtimber",lumber,"new nonresidential, other",67
8,"hardwood, sawtimber",lumber,"new nonresidential, new nonres buildings",67
9,"hardwood, sawtimber",lumber,"residential r and r, n/a",30
10,"hardwood, sawtimber",lumber,"new housing, manufactured housing",12
11,"hardwood, sawtimber",lumber,"new housing, single family",100
12,"hardwood, sawtimber",lumber,"new housing, multifamily",70
13,"hardwood, sawtimber",non-structural panels,"manufacturing, other manufacturing",12
14,"hardwood, sawtimber",non-structural panels,"new housing, multifamily",70
15,"hardwood, sawtimber",non-structural panels,"new housing, single family",100
16,"hardwood, sawtimber",non-structural panels,"residential r and r, n/a",30
17,"hardwood, sawtimber",non-structural panels,"new nonresidential, new nonres buildings",67
18,"hardwood, sawtimber",non-structural panels,"new nonresidential, other",67
19,"hardwood, sawtimber",non-structural panels,"rail and railcar, n/a",12
20,"hardwood, sawtimber",non-structural panels,"manufacturing, furniture",30
21,"hardwood, sawtimber",non-structural panels,"new housing, manufactured housing",12
22,"hardwood, sawtimber",non-structural panels,"packaging and shipping, n/a",6
23,"hardwood, sawtimber",non-structural panels,"other, n/a",12
24,"hardwood, sawtimber",oriented strandboard (OSB),"new housing, multifamily",70
25,"hardwood, sawtimber",oriented strandboard (OSB),"rail and railcar, n/a",12
26,"hardwood, sawtimber",oriented strandboard (OSB),"new housing, single family",100
27,"hardwood, sawtimber",oriented strandboard (OSB),"new housing, manufactured housing",12
28,"hardwood, sawtimber",oriented strandboard (OSB),"manufacturing, furniture",30
29,"hardwood, sawtimber",oriented strandboard (OSB),"new nonresidential, new nonres buildings",67
30,"hardwood, sawtimber",oriented strandboard (OSB),"manufacturing, other manufacturing",12
31,"hardwood, sawtimber",oriented strandboard (OSB),"packaging and shipping, n/a",6
32,"hardwood, sawtimber",oriented strandboard (OSB),"other, n/a",12
33,"hardwood, sawtimber",oriented strandboard (OSB),"residential r and r, n/a",30
34,"hardwood, sawtimber",oriented strandboard (OSB),"new nonresidential, other",67
35,"hardwood, sawtimber",other industrial products,other industrial products,12
36,"hardwood, sawtimber",plywood,"new housing, manufactured housing",12
37,"hardwood, sawtimber",plywood,"new housing, multifamily",70
38,"hardwood, sawtimber",plywood,"residential r and r, n/a",30
39,"hardwood, sawtimber",plywood,"new nonresidential, new nonres buildings",67
40,"hardwood, sawtimber",plywood,"new nonresidential, other",67
41,"hardwood, sawtimber",plywood,"rail and railcar, n/a",12
42,"hardwood, sawtimber",plywood,"manufacturing, furniture",30
43,"hardwood, sawtimber",plywood,"manufacturing, other manufacturing",12
44,"hardwood, sawtimber",plywood,"packaging and shipping, n/a",6
45,"hardwood, sawtimber",plywood,"other, n/a",12
46,"hardwood, sawtimber",plywood,"new housing, single family",100
47,"hardwood, sawtimber",wood pulp,wood pulp,2.6
48,"softwood, sawtimber",fuelwood and other,fuelwood and other,0
49,"softwood, sawtimber",lumber,"residential r and r, n/a",30
50,"softwood, sawtimber",lumber,"packaging and shipping, n/a",6
51,"softwood, sawtimber",lumber,"manufacturing, other manufacturing",12
52,"softwood, sawtimber",lumber,"manufacturing, furniture",30
53,"softwood, sawtimber",lumber,"rail and railcar, n/a",12
54,"softwood, sawtimber",lumber,"new nonresidential, new nonres buildings",67
55,"softwood, sawtimber",lumber,"other, n/a",12
56,"softwood, sawtimber",lumber,"new housing, multifamily",70
57,"softwood, sawtimber",lumber,"new housing, manufactured housing",12
58,"softwood, sawtimber",lumber,"new housing, single family",100
59,"softwood, sawtimber",lumber,"new nonresidential, other",67
60,"softwood, sawtimber",non-structural panels,"manufacturing, other manufacturing",12
61,"softwood, sawtimber",non-structural panels,"other, n/a",12
62,"softwood, sawtimber",non-structural panels,"new housing, single family",100
63,"softwood, sawtimber",non-structural panels,"rail and railcar, n/a",12
64,"softwood, sawtimber",non-structural panels,"packaging and shipping, n/a",6
65,"softwood, sawtimber",non-structural panels,"new housing, manufactured housing",12
66,"softwood, sawtimber",non-structural panels,"residential r and r, n/a",30
67,"softwood, sawtimber",non-structural panels,"new nonresidential, other",67
68,"softwood, sawtimber",non-structural panels,"manufacturing, furniture",30
69,"softwood, sawtimber",non-structural panels,"new housing, multifamily",70
70,"softwood, sawtimber",non-structural panels,"new nonresidential, new nonres buildings",67
71,"softwood, sawtimber",oriented strandboard (OSB),"rail and railcar, n/a",12
72,"softwood, sawtimber",oriented strandboard (OSB),"new nonresidential, other",67
73,"softwood, sawtimber",oriented strandboard (OSB),"new housing, manufactured housing",12
74,"softwood, sawtimber",oriented strandboard (OSB),"residential r and r, n/a",30
75,"softwood, sawtimber",oriented strandboard (OSB),"new nonresidential, new nonres buildings",67
76,"softwood, sawtimber",oriented strandboard (OSB),"other, n/a",12
77,"softwood, sawtimber",oriented strandboard (OSB),"packaging and shipping, n/a",6
78,"softwood, sawtimber",oriented strandboard (OSB),"new housing, multifamily",70
79,"softwood, sawtimber",oriented strandboard (OSB),"new housing, single family",100
80,"softwood, sawtimber",oriented strandboard (OSB),"manufacturing, other manufacturing",12
81,"softwood, sawtimber",oriented strandboard (OSB),"manufacturing, furniture",30
82,"softwood, sawtimber",other industrial products,other industrial products,12
83,"softwood, sawtimber",plywood,"residential r and r, n/a",30
84,"softwood, sawtimber",plywood,"manufacturing, furniture",30
85,"softwood, sawtimber",plywood,"new housing, single family",100
86,"softwood, sawtimber",plywood,"new housing, multifamily",70
87,"softwood, sawtimber",plywood,"manufacturing, other manufacturing",12
88,"softwood, sawtimber",plywood,"other, n/a",12
89,"softwood, sawtimber",plywood,"rail and railcar, n/a",12
90,"softwood, sawtimber",plywood,"new nonresidential, new nonres buildings",67
91,"softwood, sawtimber",plywood,"new housing, manufactured housing",12
92,"softwood, sawtimber",plywood,"packaging and shipping, n/a",6
93,"softwood, sawtimber",plywood,"new nonresidential, other",67
94,"softwood, sawtimber",wood pulp,wood pulp,2.6
95,"hardwood, pulpwood",fuelwood and other,fuelwood and other,0
96,"hardwood, pulpwood",lumber,"rail and railcar, n/a",12
97,"hardwood, pulpwood",lumber,"packaging and shipping, n/a",6
98,"hardwood, pulpwood",lumber,"other, n/a",12
99,"hardwood, pulpwood",lumber,"manufacturing, furniture",30
100,"hardwood, pulpwood",lumber,"new housing, multifamily",70
101,"hardwood, pulpwood",lumber,"new nonresidential, other",67
102,"hardwood, pulpwood",lumber,"new housing, single family",100
103,"hardwood, pulpwood",lumber,"new nonresidential, new nonres buildings",67
104,"hardwood, pulpwood",lumber,"new housing, manufactured housing",12
105,"hardwood, pulpwood",lumber,"residential r and r, n/a",30
106,"hardwood, pulpwood",lumber,"manufacturing, other manufacturing",12
107,"hardwood, pulpwood",non-structural panels,"manufacturing, other manufacturing",12
108,"hardwood, pulpwood",non-structural panels,"new housing, multifamily",70
109,"hardwood, pulpwood",non-structural panels,"other, n/a",12
110,"hardwood, pulpwood",non-structural panels,"residential r and r, n/a",30
111,"hardwood, pulpwood",non-structural panels,"new nonresidential, new nonres buildings",67
112,"hardwood, pulpwood",non-structural panels,"packaging and shipping, n/a",6
113,"hardwood, pulpwood",non-structural panels,"new nonresidential, other",67
114,"hardwood, pulpwood",non-structural panels,"new housing, single family",100
115,"hardwood, pulpwood",non-structural panels,"new housing, manufactured housing",12
116,"hardwood, pulpwood",non-structural panels,"manufacturing, furniture",30
117,"hardwood, pulpwood",non-structural panels,"rail and railcar, n/a",12
118,"hardwood, pulpwood",oriented strandboard (OSB),"manufacturing, other manufacturing",12
119,"hardwood, pulpwood",oriented strandboard (OSB),"packaging and shipping, n/a",6
120,"hardwood, pulpwood",oriented strandboard (OSB),"other, n/a",12
121,"hardwood, pulpwood",oriented strandboard (OSB),"manufacturing, furniture",30
122,"hardwood, pulpwood",oriented strandboard (OSB),"rail and railcar, n/a",12
123,"hardwood, pulpwood",oriented strandboard (OSB),"new nonresidential, new nonres buildings",67
124,"hardwood, pulpwood",oriented strandboard (OSB),"new housing, single family",100
125,"hardwood, pulpwood",oriented strandboard (OSB),"new housing, manufactured housing",12
126,"hardwood, pulpwood",oriented strandboard (OSB),"residential r and r, n/a",30
127,"hardwood, pulpwood",oriented strandboard (OSB),"new nonresidential, other",67
128,"hardwood, pulpwood",oriented strandboard (OSB),"new housing, multifamily",70
129,"hardwood, pulpwood",other industrial products,other industrial products,12
130,"hardwood, pulpwood",plywood,"residential r and r, n/a",30
131,"hardwood, pulpwood",plywood,"packaging and shipping, n/a",6
132,"hardwood, pulpwood",plywood,"new housing, manufactured housing",12
133,"hardwood, pulpwood",plywood,"new housing, single family",100
134,"hardwood, pulpwood",plywood,"new housing, multifamily",70
135,"hardwood, pulpwood",plywood,"other, n/a",12
136,"hardwood, pulpwood",plywood,"manufacturing, other manufacturing",12
137,"hardwood, pulpwood",plywood,"rail and railcar, n/a",12
138,"hardwood, pulpwood",plywood,"new nonresidential, new nonres buildings",67
139,"hardwood, pulpwood",plywood,"manufacturing, furniture",30
140,"hardwood, pulpwood",plywood,"new nonresidential, other",67
141,"hardwood, pulpwood",wood pulp,wood pulp,2.6
142,"softwood, pulpwood",fuelwood and other,fuelwood and other,0
143,"softwood, pulpwood",lumber,"residential r and r, n/a",30
144,"softwood, pulpwood",lumber,"manufacturing, furniture",30
145,"softwood, pulpwood",lumber,"new housing, manufactured housing",12
146,"softwood, pulpwood",lumber,"new housing, multifamily",70
147,"softwood, pulpwood",lumber,"new nonresidential, new nonres buildings",67
148,"softwood, pulpwood",lumber,"new nonresidential, other",67
149,"softwood, pulpwood",lumber,"manufacturing, other manufacturing",12
150,"softwood, pulpwood",lumber,"packaging and shipping, n/a",6
151,"softwood, pulpwood",lumber,"other, n/a",12
152,"softwood, pulpwood",lumber,"new housing, single family",100
153,"softwood, pulpwood",lumber,"rail and railcar, n/a",12
154,"softwood, pulpwood",non-structural panels,"new housing, single family",100
155,"softwood, pulpwood",non-structural panels,"manufacturing, furniture",30
156,"softwood, pulpwood",non-structural panels,"other, n/a",12
157,"softwood, pulpwood",non-structural panels,"packaging and shipping, n/a",6
158,"softwood, pulpwood",non-structural panels,"new nonresidential, new nonres buildings",67
159,"softwood, pulpwood",non-structural panels,"manufacturing, other manufacturing",12
160,"softwood, pulpwood",non-structural panels,"new nonresidential, other",67
161,"softwood, pulpwood",non-structural panels,"residential r and r, n/a",30
162,"softwood, pulpwood",non-structural panels,"new housing, multifamily",70
163,"softwood, pulpwood",non-structural panels,"rail and railcar, n/a",12
164,"softwood, pulpwood",non-structural panels,"new housing, manufactured housing",12
165,"softwood, pulpwood",oriented strandboard (OSB),"manufacturing, furniture",30
166,"softwood, pulpwood",oriented strandboard (OSB),"manufacturing, other manufacturing",12
167,"softwood, pulpwood",oriented strandboard (OSB),"new nonresidential, other",67
168,"softwood, pulpwood",oriented strandboard (OSB),"new housing, single family",100
169,"softwood, pulpwood",oriented strandboard (OSB),"new housing, multifamily",70
170,"softwood, pulpwood",oriented strandboard (OSB),"new housing, manufactured housing",12
171,"softwood, pulpwood",oriented strandboard (OSB),"residential r and r, n/a",30
172,"softwood, pulpwood",oriented strandboard (OSB),"rail and railcar, n/a",12
173,"softwood, pulpwood",oriented strandboard (OSB),"packaging and shipping, n/a",6
174,"softwood, pulpwood",oriented strandboard (OSB),"other, n/a",12
175,"softwood, pulpwood",oriented strandboard (OSB),"new nonresidential, new nonres buildings",67
176,"softwood, pulpwood",other industrial products,other industrial products,12
177,"softwood, pulpwood",plywood,"rail and railcar, n/a",12
178,"softwood, pulpwood",plywood,"new nonresidential, other",67
179,"softwood, pulpwood",plywood,"other, n/a",12
180,"softwood, pulpwood",plywood,"manufacturing, other manufacturing",12
181,"softwood, pulpwood",plywood,"new nonresidential, new nonres buildings",67
182,"softwood, pulpwood",plywood,"packaging and shipping, n/a",6
183,"softwood, pulpwood",plywood,"new housing, manufactured housing",12
184,"softwood, pulpwood",plywood,"new housing, multifamily",70
185,"softwood, pulpwood",plywood,"new housing, single family",100
186,"softwood, pulpwood",plywood,"manufacturing, furniture",30
187,"softwood, pulpwood",plywood,"residential r and r, n/a",30
188,"softwood, pulpwood",wood pulp,wood pulp,2.6
189,"hardwood, poles","hardwood, poles","hardwood, poles",12
190,"softwood, poles","softwood, poles","softwood, poles",12
191,"hardwood, pilings","hardwood, pilings","hardwood, pilings",12
192,"softwood, pilings","softwood, pilings","softwood, pilings",12
193,"hardwood, mine props","hardwood, mine props","hardwood, mine props",12
194,"softwood, mine props","softwood, mine props","softwood, mine props",12
195,"hardwood, posts","hardwood, posts","hardwood, posts",12
196,"softwood, posts","softwood, posts","softwood, posts",12
197,"hardwood, fuelwood","hardwood, fuelwood","hardwood, fuelwood",0
198,"softwood, fuelwood","softwood, fuelwood","softwood, fuelwood",0
199,"hardwood, non-sawtimber","hardwood, non-sawtimber","hardwood, non-sawtimber",12
200,"softwood, non-sawtimber","softwood, non-sawtimber","softwood, non-sawtimber",12
201,"hardwood, ties","hardwood, ties","hardwood, ties",12
202,"softwood, ties","softwood, ties","softwood, ties",12
203,"hardwood, coop bolts","hardwood, coop bolts","hardwood, coop bolts",12
204,"softwood, coop bolts","softwood, coop bolts","softwood, coop bolts",12
205,"hardwood, acid/dist.","hardwood, acid/dist.","hardwood, acid/dist.",12
206,"softwood, acid/dist.","softwood, acid/dist.","softwood, acid/dist.",12
207,"hardwood, float logs","hardwood, float logs","hardwood, float logs",12
208,"softwood, float logs","softwood, float logs","softwood, float logs",12
209,"hardwood, trap float","hardwood, trap float","hardwood, trap float",12
210,"softwood, trap float","softwood, trap float","softwood, trap float",12
211,"hardwood, misc-conv.","hardwood, misc-conv.","hardwood, misc-conv.",12
