Year,co2e
1906,10.730505170911831
1907,3028.555344415185
1908,24897.121748598816
1909,36122.49420046845
1910,43073.59194936091
1911,46863.74685529461
1912,54440.9789118618
1913,69666.73634008877
1914,93965.36600396721
1915,112648.08619615246
1916,124516.15614212974
1917,140251.86906197973
1918,140847.3021387694
1919,142720.72639725247
1920,144843.53035951182
1921,143864.6851209601
1922,146613.5850512141
1923,148794.18241631443
1924,155035.19901382743
1925,162711.1755401666
1926,163841.07607310812
1927,164459.2104336262
1928,170773.68779422247
1929,172491.6811378241
1930,169121.87347402907
1931,160402.15907987187
1932,142860.60169286825
1933,123317.8479525077
1934,114067.47699047046
1935,109496.16664831215
1936,112612.60681585495
1937,113928.43394244833
1938,116019.91202179795
1939,110257.70101246951
1940,121035.67484844493
1941,135468.9034882832
1942,147746.01390851708
1943,163567.62995465283
1944,202113.21586671835
1945,241450.82430956812
1946,244965.6126866062
1947,304486.9051610839
1948,350152.125769277
1949,418938.4754607784
1950,459725.31670972065
1951,493077.4948154368
1952,580283.5300036207
1953,640654.7820465979
1954,691698.3265560233
1955,747013.3308987154
1956,826021.7467336472
1957,911694.8308844445
1958,951526.7501912428
1959,1071305.6372172486
1960,1157156.6147611497
1961,1204326.7629697893
1962,1231356.167179667
1963,1385468.4752607634
1964,1574630.0894788406
1965,1723624.1542388324
1966,1792145.3568253256
1967,1917415.401638519
1968,2115102.555221323
1969,2188015.759805405
1970,2281483.0973125286
1971,2294238.063769242
1972,2334355.670616163
1973,2286037.1517861835
1974,2280654.4608890526
1975,2238241.9369990444
1976,2166286.850466951
1977,2117787.8080982035
1978,2129012.812576685
1979,2136514.5894664507
1980,2122453.8926712354
1981,2097833.4130265974
1982,2100705.912779095
1983,2295531.489539316
1984,2413237.282398966
1985,2485820.708039445
1986,2556432.6398007628
1987,2666294.85425047
1988,2684305.752058706
1989,2775282.735355992
1990,2821340.9874076685
1991,2825589.8236440937
1992,2793157.73671647
1993,2770999.0878049936
1994,2763199.692680488
1995,2726649.4256638163
1996,2691384.6347301104
1997,2641089.3304508417
1998,2569775.4190630442
1999,2556251.782964205
2000,2505385.922073611
2001,2451714.7672167616
2002,2416269.625396277
2003,2414989.609687289
2004,2375299.165464578
2005,2358155.500578846
2006,2324147.248536696
2007,2285822.3002270907
2008,2248763.812250233
2009,2225978.2042874135
2010,2199452.116310632
2011,2200559.9958951683
2012,2185412.1153730163
2013,2150560.259610001
2014,2121371.0993471844
2015,2111744.4682768118
2016,2086166.7833337912
2017,2055598.1481992789
2018,2042022.0664045485
