Year,mtcarbon
1906,2.926501410248679
1907,427.4080363148818
1908,2683.367442498852
1909,4648.133575544157
1910,6252.007360959265
1911,7517.904440618055
1912,8772.200203311186
1913,10349.155971469218
1914,12504.61158122274
1915,14884.091252791108
1916,17212.46777653942
1917,19631.97960235455
1918,21678.638443079755
1919,23469.33423647203
1920,25063.206144656455
1921,26416.653872795414
1922,27666.84595803059
1923,28818.1686172853
1924,29984.553808974306
1925,31199.27874992704
1926,32308.17534112787
1927,33314.839735002
1928,34357.85732643305
1929,35335.20628982622
1930,36147.794799723844
1931,36703.23033373256
1932,36848.5216545582
1933,36586.03133996886
1934,36162.87008118134
1935,35687.144269226235
1936,35314.016594558394
1937,34998.592159829794
1938,34750.18055115809
1939,34412.995290716295
1940,34307.122107229814
1941,34480.69729369109
1942,34869.51212507596
1943,35520.97596592096
1944,36831.06169490906
1945,38760.26528777782
1946,40607.44650257985
1947,43393.152664920584
1948,46793.87635670775
1949,51176.65735988567
1950,55966.14588646719
1951,61000.148342618944
1952,67215.70991223192
1953,74050.5416141998
1954,81295.53518931227
1955,88996.86045494986
1956,97537.10725160646
1957,106972.44559476439
1958,116441.16929623307
1959,127331.57431971897
1960,138954.34981348817
1961,150590.20155691396
1962,161893.47566835606
1963,175079.33036951907
1964,190617.50396803534
1965,207653.27373045607
1966,224704.5980028096
1967,242744.99671176609
1968,262945.06019073323
1969,283027.41818477155
1970,303354.8285264901
1971,322540.7204373847
1972,341134.16890109633
1973,357678.6505882187
1974,373048.51729776576
1975,386700.5644416815
1976,398256.0959954378
1977,408258.6143669647
1978,417825.4494161411
1979,426923.89205451997
1980,435222.42721898697
1981,442598.0010107959
1982,449576.8934401625
1983,459417.0945062891
1984,470623.4652766878
1985,482343.57029563456
1986,494509.573654071
1987,507750.8030234125
1988,520452.5847503155
1989,533877.1865778296
1990,547222.8007725639
1991,559795.1101128777
1992,571033.3632235955
1993,581201.3916609978
1994,590612.8442465999
1995,598838.0388218015
1996,605978.9512807649
1997,611857.3328058543
1998,616206.6770588753
1999,620095.4431496592
2000,622929.2265000138
2001,624730.9908859998
2002,625873.0721409135
2003,626968.29583415
2004,627376.3425532826
2005,627517.7428377237
2006,627126.8232790126
2007,626165.2965876067
2008,624690.5242460222
2009,622972.7541676185
2010,620963.5741074925
2011,619140.8039887076
2012,617218.5301993003
2013,614872.9702834388
2014,612224.9335365949
2015,609618.5220664466
2016,606783.1287959006
2017,603649.0961320571
2018,600517.5075959939
