Year,co2e
1906,10.730505170911831
1907,1567.162799821233
1908,9839.013955829127
1909,17043.156443661905
1910,22924.026990183982
1911,27565.64961559954
1912,32164.734078807673
1913,37946.905228720454
1914,45850.2424644834
1915,54575.001260234094
1916,63112.38184731119
1917,71983.92520863339
1918,79488.34095795915
1919,86054.22553373079
1920,91898.42253040704
1921,96861.06420024986
1922,101445.10184611216
1923,105666.61826337948
1924,109943.3639662391
1925,114397.35541639914
1926,118463.30958413555
1927,122154.41236167391
1928,125978.81019692117
1929,129562.42306269621
1930,132541.9142656541
1931,134578.51122368604
1932,135111.24606671341
1933,134148.78157988584
1934,132597.19029766487
1935,130852.8623204962
1936,129484.72751338074
1937,128328.17125270926
1938,127417.32868757965
1939,126180.98273262643
1940,125792.78105984264
1941,126429.22341020063
1942,127854.8777919451
1943,130243.57854171019
1944,135047.2262146666
1945,142120.97272185195
1946,148893.9705094594
1947,159108.2264380421
1948,171577.54664126178
1949,187647.74365291407
1950,205209.20158371306
1951,223667.2105896028
1952,246457.603011517
1953,271518.6525853993
1954,298083.6290274783
1955,326321.8216681495
1956,357636.0599225572
1957,392232.3005141361
1958,426950.954086188
1959,466882.43917230284
1960,509499.28264945676
1961,552164.0723753512
1962,593609.4107839722
1963,641957.5446882362
1964,698930.8478827962
1965,761395.3370116727
1966,823916.8593436349
1967,890064.9879431424
1968,964131.8873660221
1969,1037767.2000108293
1970,1112301.0379304634
1971,1182649.3082704113
1972,1250825.2859706865
1973,1311488.385490136
1974,1367844.5634251416
1975,1417902.0696194987
1976,1460272.3519832725
1977,1496948.2526788702
1978,1532026.6478591843
1979,1565387.604199907
1980,1595815.5664696184
1981,1622859.3370395857
1982,1648448.6092805956
1983,1684529.346523061
1984,1725619.3726811886
1985,1768593.091083994
1986,1813201.7700649262
1987,1861752.9444191796
1988,1908326.1440844901
1989,1957549.6841187088
1990,2006483.6028327348
1991,2052582.0704138845
1992,2093788.998486516
1993,2131071.7694236585
1994,2165580.4289041995
1995,2195739.4756799387
1996,2221922.821362806
1997,2243476.8869547998
1998,2259424.482549208
1999,2273683.2915487494
2000,2284073.8305000504
2001,2290680.2999153323
2002,2294867.9311833493
2003,2298883.7513918835
2004,2300379.922695369
2005,2300898.390404986
2006,2299465.018689712
2007,2295939.4208212243
2008,2290531.922235415
2009,2284233.431947935
2010,2276866.4383941386
2011,2270182.9479585933
2012,2263134.6107307677
2013,2254534.224372609
2014,2244824.7563008475
2015,2235267.914243638
2016,2224871.4722516355
2017,2213380.019150877
2018,2201897.527851977
