Year,mtcarbon
1906,1.1559680570482287
1907,167.46645869292195
1908,1044.7626609716592
1909,1806.5340695139591
1910,2426.838702210003
1911,2915.7396299455672
1912,3397.586040548254
1913,3997.8278849321255
1914,4810.951509028474
1915,5705.029144349028
1916,6578.733525026725
1917,7483.781253619691
1918,8252.375046255334
1919,8926.956410662555
1920,9529.067481107626
1921,10043.666630050411
1922,10519.52242198826
1923,10958.533884966893
1924,11400.70685055104
1925,11857.853110838847
1926,12277.111102549232
1927,12659.864889541599
1928,13053.499603861757
1929,13423.637582067991
1930,13736.938377947614
1931,13962.355433868986
1932,14048.610537022054
1933,13996.176759647666
1934,13886.681358073314
1935,13755.942076523035
1936,13655.265704249347
1937,13570.499853660322
1938,13505.08017050643
1939,13408.746733895761
1940,13385.150342986222
1941,13450.573899194764
1942,13585.169120767081
1943,13804.71702493743
1944,14236.46668319434
1945,14869.578727952436
1946,15482.759436503326
1947,16398.72734115888
1948,17517.79221920136
1949,18957.01490475738
1950,20537.981770822265
1951,22210.225469654968
1952,24266.83866761474
1953,26535.442031283612
1954,28951.8621441192
1955,31530.624512157716
1956,34390.80209847595
1957,37551.60753637927
1958,40748.61440005373
1959,44408.64439254709
1960,48323.48713928459
1961,52273.03418403091
1962,56149.24998300246
1963,60627.970223314675
1964,65859.29758815229
1965,71589.92212314143
1966,77371.2717746698
1967,83497.23593532461
1968,90325.78061816904
1969,97171.16463735957
1970,104139.70855755919
1971,110808.85966945754
1972,117336.9158930545
1973,123277.96802802844
1974,128885.00627978824
1975,133987.31897064118
1976,138461.90005870964
1977,142462.6846527841
1978,146319.50121841405
1979,150021.4420640988
1980,153467.64972893536
1981,156618.47359877123
1982,159628.83700947254
1983,163475.89764639523
1984,167726.71574004955
1985,172133.00246837793
1986,176676.96612574914
1987,181548.94847937502
1988,186271.0603598705
1989,191217.28499153763
1990,196151.27977084633
1991,200864.76469743915
1992,205186.0506002386
1993,209186.93235541004
1994,212955.76429233828
1995,216361.29383857636
1996,219428.69984472706
1997,222100.5790398323
1998,224292.67251018586
1999,226316.7200014179
2000,227995.78870263987
2001,229333.46984858884
2002,230437.43858100582
2003,231488.7955051284
2004,232299.79098658197
2005,232994.0897119374
2006,233493.9887598973
2007,233787.80140140402
2008,233892.01395503533
2009,233886.50581387372
2010,233758.12431501035
2011,233649.22478996692
2012,233478.40470200175
2013,233151.3993872369
2014,232703.7521854098
2015,232237.67567727133
2016,231675.30149747716
2017,230996.65950153078
2018,230290.96768639702
