Year,co2e
1906,4.238549542510174
1907,614.0436818740474
1908,3830.796423562749
1909,6623.958254884516
1910,8898.408574770014
1911,10691.04530980041
1912,12457.815482010263
1913,14658.70224475113
1914,17640.155533104407
1915,20918.440195946434
1916,24122.022925097994
1917,27440.5312632722
1918,30258.70850293624
1919,32732.17350576271
1920,34939.91409739462
1921,36826.77764351819
1922,38571.58221395696
1923,40181.29091154528
1924,41802.591785353805
1925,43478.79473974243
1926,45016.074042680535
1927,46419.504594985854
1928,47862.83188082647
1929,49220.00446758264
1930,50368.774052474546
1931,51195.30325751959
1932,51511.57196908089
1933,51319.31478537479
1934,50917.83164626883
1935,50438.45428058446
1936,50069.3075822476
1937,49758.49946342116
1938,49518.62729185691
1939,49165.40469095111
1940,49078.8845909495
1941,49318.77096371411
1942,49812.286776145935
1943,50617.29575810391
1944,52200.37783837927
1945,54521.788669158916
1946,56770.11793384555
1947,60128.666917582574
1948,64231.904803738325
1949,69509.0546507771
1950,75305.9331596816
1951,81437.49338873489
1952,88978.40844792071
1953,97296.62078137325
1954,106156.82786177036
1955,115612.28987791161
1956,126099.6076944118
1957,137689.2276333906
1958,149411.58613353028
1959,162831.696106006
1960,177186.11951071012
1961,191667.79200811338
1962,205880.58327100903
1963,222302.5574854872
1964,241484.0911565584
1965,262496.38111818524
1966,283694.6631737893
1967,306156.5317628569
1968,331194.5289332863
1969,356294.2703369851
1970,381845.59804438375
1971,406299.1521213442
1972,430235.35827453306
1973,452019.2161027708
1974,472578.35635922354
1975,491286.8362256845
1976,507693.63354860205
1977,522363.17706020834
1978,536504.8378008516
1979,550078.6209016957
1980,562714.7156727628
1981,574267.7365288278
1982,585305.7357013996
1983,599411.6247034493
1984,614997.9577135148
1985,631154.3423840526
1986,647815.5424610801
1987,665679.4777577083
1988,682993.8879861919
1989,701130.0449689713
1990,719221.35915977
1991,736504.1372239433
1992,752348.852200875
1993,767018.7519698371
1994,780837.8024052402
1995,793324.7440747803
1996,804571.8994306661
1997,814368.789812719
1998,822406.4658706815
1999,829827.9733385324
2000,835984.5585763458
2001,840889.3894448257
2002,844937.2747970216
2003,848792.250185471
2004,851765.9002841339
2005,854311.6622771036
2006,856144.6254529568
2007,857221.9384718147
2008,857604.0511684627
2009,857583.8546508705
2010,857113.1224883713
2011,856713.8242298788
2012,856087.4839073401
2013,854888.4644198688
2014,853247.091346503
2015,851538.144149995
2016,849476.1054907497
2017,846987.7515056127
2018,844400.2148501229
