Year,co2e
1906,10.730505170911831
1907,1719.5943696163836
1908,11570.997134427356
1909,20332.695959385976
1910,27560.30820616948
1911,33221.00324215578
1912,39095.75065934643
1913,47211.69340663645
1914,59245.19780518686
1915,72676.27822951706
1916,85490.16565604963
1917,98850.38552153067
1918,108995.40222605906
1919,117081.24602241033
1920,123699.43415098429
1921,128485.66249060602
1922,132774.03513103072
1923,136554.1687376664
1924,140906.51259268788
1925,146033.96104385934
1926,150216.61565943857
1927,153559.10426532538
1928,157596.37903029218
1929,161087.9416909728
1930,162970.41686315546
1931,162368.8138373954
1932,157800.14653921718
1933,149726.08236461465
1934,141377.70484507777
1935,133914.37956693795
1936,128928.1224016815
1937,125417.25047050246
1938,123217.78288100156
1939,120184.55467599913
1940,120383.74877165514
1941,123914.16845570979
1942,129491.51126918051
1943,137466.2139678578
1944,152595.16155971383
1945,173389.36739813126
1946,190139.7127281633
1947,216899.2462466566
1948,248082.9891544344
1949,288066.36872229335
1950,328237.69770119374
1951,366813.16518692276
1952,416769.0020816253
1953,469162.18579408526
1954,521239.49659398024
1955,574074.457516131
1956,633034.4346891467
1957,698245.7170282151
1958,757517.7826108695
1959,830949.4600071077
1960,907287.4541772966
1961,976799.6718527572
1962,1036370.188719123
1963,1118065.0758046303
1964,1224908.9848007313
1965,1341616.7366929608
1966,1447048.0214227429
1967,1557121.9078983292
1968,1687698.7719821443
1969,1804781.3676863173
1970,1916337.5945015503
1971,2004772.663118254
1972,2081900.6322466144
1973,2129672.0123068905
1974,2165004.4453635057
1975,2182143.250493072
1976,2178432.5861388524
1977,2164240.6878859582
1978,2155996.7724546846
1979,2151437.6139068366
1980,2144654.935578853
1981,2133697.9116838556
1982,2125977.2289613863
1983,2165655.778102088
1984,2223594.014799573
1985,2284959.472053504
1986,2348488.7598732407
1987,2422860.731903185
1988,2484043.264488089
1989,2552198.199719834
1990,2615182.1393880546
1991,2664421.0768469167
1992,2694547.620781038
1993,2712438.5500813117
1994,2724317.5113201416
1995,2724863.218502487
1996,2717028.6667451495
1997,2699257.5846510977
1998,2668956.5798404785
1999,2642581.7615262778
2000,2610475.627277267
2001,2573322.915453684
2002,2536569.8037345014
2003,2508117.9931865144
2004,2477036.1533098747
2005,2449216.0808398123
2006,2419947.8702564705
2007,2388560.230698803
2008,2355845.5172198294
2009,2325454.381452428
2010,2295967.7318832907
2011,2273640.7167768553
2012,2252993.739925751
2013,2229022.5824642777
2014,2203830.324573532
2015,2182280.685193334
2016,2159788.4153943416
2017,2135406.140251618
2018,2113552.6961268894
