Year,ccf
2017,9588973.08
2016,9681873.899
2015,9432134.784
2014,10273620.5
2013,10455891.36
2012,9334373.541
2011,9086228.755
2010,8034016.047
2009,6843633.104
2008,8230517.571
2007,9084685.938
2006,10350210.02
2005,10550445.75
2004,10645553.18
2003,9838756.525
2002,9643398.417
2001,8456980.218
2000,9474140.506
1999,8262281.319
1998,7762424.176
1997,8970142.857
1996,8620437.363
1995,9459687.912
1994,9158606.593
1993,11635092.31
1992,12620573.63
1991,13363200
1990,13667283.52
1989,16286069.63
1988,16663549.32
1987,15890299.81
1986,16910297.87
1985,15720029.01
1984,14603023.21
1983,14437114.12
1982,11137141.2
1981,11015773.69
1980,12842261.12
1979,14196214.02
1978,14754014.76
1977,14532081.18
1976,15032308.12
1975,13599123.62
1974,15426939.11
1973,17277915.13
1972,17976667.9
1971,16656219.56
1970,14726387.45
1969,16882619.93
1968,17974653.14
1967,15419214.02
1966,16460158.67
1965,17331378.23
1964,17364843.17
1963,16001758.3
1962,15682911.44
