PrimaryProductID,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990,1989,1988,1987,1986,1985,1984,1983,1982,1981,1980,1979,1978,1977,1976,1975,1974,1973,1972,1971,1970,1969,1968,1967,1966,1965,1964,1963,1962
1,0.0508,0.0508,0.0508,0.0508,0.0508,0.0508,0.0508,0.0508,0.0508,0.106,0.106,0.106,0.106,0.106,0.02,0.02,0.02,0.02,0.02,0.0701,0.0701,0.0701,0.0701,0.0489,0.0489,0.1075,0.1075,0.1075,0.1075,0.133,0.133,0.133,0.1522,0.1522,0.1522,0.1368,0.1368,0.1368,0.1368,0.1368,0.1368,0.0963,0.0963,0.0963,0.0963,0.124,0.124,0.124,0.124,0.1752,0.1752,0.1752,0.1752,0.1752,0.1752,0.1752
2,0.4167,0.4167,0.4167,0.4167,0.4167,0.4167,0.4167,0.4167,0.4167,0.4225,0.4225,0.4225,0.4225,0.4225,0.3942,0.3942,0.3942,0.3942,0.3942,0.2944,0.2944,0.2944,0.2944,0.2797,0.2797,0.287,0.287,0.287,0.287,0.2478,0.2478,0.2478,0.2455,0.2455,0.2455,0.2305,0.2305,0.2305,0.2305,0.2305,0.2305,0.2383,0.2383,0.2383,0.2383,0.2661,0.2661,0.2661,0.2661,0.2598,0.2598,0.2598,0.2598,0.2598,0.2598,0.2598
3,0.1189,0.1189,0.1189,0.1189,0.1189,0.1189,0.1189,0.1189,0.1189,0.0996,0.0996,0.0996,0.0996,0.0996,0.1622,0.1622,0.1622,0.1622,0.1622,0.1589,0.1589,0.1589,0.1589,0.0531,0.0531,0.1023,0.1023,0.1023,0.1023,0.0708,0.0708,0.0708,0.0844,0.0844,0.0844,0.1002,0.1002,0.1002,0.1002,0.1002,0.1002,0.0794,0.0794,0.0794,0.0794,0.0912,0.0912,0.0912,0.0912,0.0514,0.0514,0.0514,0.0514,0.0514,0.0514,0.0514
4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,0.0081,0.0081,0.0081,0.0081,0.0081,0.0081,0.0081,0.0081,0.0081,0.0252,0.0252,0.0252,0.0252,0.0252,0.0156,0.0156,0.0156,0.0156,0.0156,0.043,0.043,0.043,0.043,0.0958,0.0958,0.0565,0.0565,0.0565,0.0565,0.1115,0.1115,0.1115,0.1279,0.1279,0.1279,0.1162,0.1162,0.1162,0.1162,0.1162,0.1162,0.1104,0.1104,0.1104,0.1104,0.0876,0.0876,0.0876,0.0876,0.0909,0.0909,0.0909,0.0909,0.0909,0.0909,0.0909
6,0.1103,0.1103,0.1103,0.1103,0.1103,0.1103,0.1103,0.1103,0.1103,0.1046,0.1046,0.1046,0.1046,0.1046,0.1281,0.1281,0.1281,0.1281,0.1281,0.1253,0.1253,0.1253,0.1253,0.1206,0.1206,0.1285,0.1285,0.1285,0.1285,0.1458,0.1458,0.1458,0.142,0.142,0.142,0.1641,0.1641,0.1641,0.1641,0.1641,0.1641,0.1634,0.1634,0.1634,0.1634,0.1562,0.1562,0.1562,0.1562,0.1431,0.1431,0.1431,0.1431,0.1431,0.1431,0.1431
7,0.2952,0.2952,0.2952,0.2952,0.2952,0.2952,0.2952,0.2952,0.2952,0.2421,0.2421,0.2421,0.2421,0.2421,0.2799,0.2799,0.2799,0.2799,0.2799,0.3083,0.3083,0.3083,0.3083,0.4019,0.4019,0.3182,0.3182,0.3182,0.3182,0.2911,0.2911,0.2911,0.248,0.248,0.248,0.2522,0.2522,0.2522,0.2522,0.2522,0.2522,0.3122,0.3122,0.3122,0.3122,0.2749,0.2749,0.2749,0.2749,0.2796,0.2796,0.2796,0.2796,0.2796,0.2796,0.2796
8,0.0508,0.0508,0.0508,0.0508,0.0508,0.0508,0.0508,0.0508,0.0508,0.106,0.106,0.106,0.106,0.106,0.02,0.02,0.02,0.02,0.02,0.0701,0.0701,0.0701,0.0701,0.0489,0.0489,0.1075,0.1075,0.1075,0.1075,0.133,0.133,0.133,0.1522,0.1522,0.1522,0.1368,0.1368,0.1368,0.1368,0.1368,0.1368,0.0963,0.0963,0.0963,0.0963,0.124,0.124,0.124,0.124,0.1752,0.1752,0.1752,0.1752,0.1752,0.1752,0.1752
9,0.4167,0.4167,0.4167,0.4167,0.4167,0.4167,0.4167,0.4167,0.4167,0.4225,0.4225,0.4225,0.4225,0.4225,0.3942,0.3942,0.3942,0.3942,0.3942,0.2944,0.2944,0.2944,0.2944,0.2797,0.2797,0.287,0.287,0.287,0.287,0.2478,0.2478,0.2478,0.2455,0.2455,0.2455,0.2305,0.2305,0.2305,0.2305,0.2305,0.2305,0.2383,0.2383,0.2383,0.2383,0.2661,0.2661,0.2661,0.2661,0.2598,0.2598,0.2598,0.2598,0.2598,0.2598,0.2598
10,0.1189,0.1189,0.1189,0.1189,0.1189,0.1189,0.1189,0.1189,0.1189,0.0996,0.0996,0.0996,0.0996,0.0996,0.1622,0.1622,0.1622,0.1622,0.1622,0.1589,0.1589,0.1589,0.1589,0.0531,0.0531,0.1023,0.1023,0.1023,0.1023,0.0708,0.0708,0.0708,0.0844,0.0844,0.0844,0.1002,0.1002,0.1002,0.1002,0.1002,0.1002,0.0794,0.0794,0.0794,0.0794,0.0912,0.0912,0.0912,0.0912,0.0514,0.0514,0.0514,0.0514,0.0514,0.0514,0.0514
